,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
34,GS-FCM_k4_m2_eta0.5,0.26681520000493647,0.8580508474576272,0.6040677966101694,0.8122985093430499,0.37151827695634165,1630.5632918959493,0.13557749187084697,0.1440751552581787,21
35,GS-FCM_k4_m2_eta0.9,0.2622803081726784,0.8548728813559322,0.6032783765783644,0.8122728181323168,0.37154750957843613,1630.5315854740086,0.18884637092166093,0.08550882339477539,12
36,GS-FCM_k5_m1.05_eta0.1,0.1982052795394982,0.8315677966101694,0.5163973932396925,0.8617488584044694,0.3417625206691204,1606.0891592450953,0.2240478423514058,0.34633564949035645,45
37,GS-FCM_k5_m1.05_eta0.5,0.20136796961478404,0.8305084745762712,0.5141765368798931,0.8617488584044697,0.341762520669102,1606.0891592450932,0.22405273523549404,0.22514796257019043,27
38,GS-FCM_k5_m1.05_eta0.9,0.1982052795394982,0.8315677966101694,0.5163973932396925,0.8617488584044706,0.3417625206691639,1606.0891592450917,0.22405273523550182,0.20424413681030273,28
39,GS-FCM_k5_m1.5_eta0.1,0.20113175899050167,0.8177966101694916,0.5318537394808581,0.8652739414903623,0.34108446479995963,1605.74735109602,0.1873112868813416,0.6322720050811768,77
40,GS-FCM_k5_m1.5_eta0.5,0.20016169526843652,0.8140889830508474,0.5281737753771651,0.8619118695568446,0.3419641683812751,1607.0662662081493,0.21438950234565982,0.12281060218811035,16
41,GS-FCM_k5_m1.5_eta0.9,0.1996899891077719,0.8289194915254238,0.513871607180223,0.8617039562336626,0.3416847501803401,1606.2355745501231,0.22311574736751227,0.12213611602783203,17
42,GS-FCM_k5_m1.75_eta0.1,0.20417878527630545,0.8199152542372882,0.528421740033839,0.8644073691586914,0.34132723383314756,1606.5558952569809,0.15283023203858345,0.404693603515625,52
43,GS-FCM_k5_m1.75_eta0.5,0.20326134886857886,0.8326271186440678,0.5211197700604481,0.8629727836701411,0.341652160225447,1606.907915232072,0.18670414999753945,0.20087432861328125,26
44,GS-FCM_k5_m1.75_eta0.9,0.201001810551487,0.8310381355932204,0.5178034894876581,0.8608994926080756,0.3419545903582971,1607.1008497730713,0.22271763048613563,0.1597740650177002,22
45,GS-FCM_k5_m2_eta0.1,0.20372389295542287,0.8199152542372882,0.5289081333679487,0.86461701356753,0.34128169647846085,1606.4556614244432,0.11984848930126261,0.8622796535491943,118
46,GS-FCM_k5_m2_eta0.5,0.20468096577781653,0.8199152542372882,0.5303647623562878,0.8629727836701416,0.34165216022545813,1606.9079152320696,0.1494087381729113,0.31755518913269043,42
47,GS-FCM_k5_m2_eta0.9,0.19977190168533104,0.8315677966101694,0.5143793761697749,0.8617525567610764,0.34180620137474615,1606.8955579827787,0.21867261612711075,0.1297004222869873,17
48,GS-FCM_k6_m1.05_eta0.1,0.1542536047838596,0.7817796610169492,0.4625032345710959,0.7763479996932405,0.3692877376314478,1626.3404546891911,0.19962834687340097,0.21353888511657715,26
49,GS-FCM_k6_m1.05_eta0.5,0.14955208101873727,0.7807203389830508,0.4742590250034026,0.776347999693241,0.3692877376314095,1626.3404546891923,0.19966830139516978,0.08464193344116211,10
50,GS-FCM_k6_m1.05_eta0.9,0.14899831885819434,0.7801906779661016,0.47364767399927876,0.7764692942650725,0.36933759047715803,1626.3717328476505,0.19968779303879483,0.15588998794555664,20
