,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Xie-Beni,Solving Time,Iterations
24,GS-FCM_k4_m1.05_eta0.1,0.006654881436773991,0.9610079575596817,0.6133401661102573,1.29441062983218,0.2810205472701846,1018.0410006353296,0.6486453939557962,0.1015324592590332,5
25,GS-FCM_k4_m1.05_eta0.5,-0.001183811002643346,0.9610079575596817,0.5332118344497476,1.389441796844674,0.28111426721056454,971.7700622166459,0.6189748796501567,0.08575940132141113,4
26,GS-FCM_k4_m1.05_eta0.9,-0.007882056760287323,0.9610079575596817,0.7080229478115786,1.4015603055788266,0.28580079981960965,823.4039354097379,0.6627729237980615,0.14790678024291992,8
27,GS-FCM_k4_m1.5_eta0.1,0.003160056786828866,0.9610079575596817,0.6016777163181776,1.3807204001677729,0.29659114439997464,991.6037225254559,0.5591687870774585,0.7935783863067627,44
28,GS-FCM_k4_m1.5_eta0.5,0.006654881436773991,0.9610079575596817,0.6133401661102573,1.29441062983218,0.2810205472701846,1018.0410006353296,0.6191141005976387,0.13468265533447266,7
29,GS-FCM_k4_m1.5_eta0.9,-0.0002487743622375519,0.9610079575596817,0.5609010479423788,1.3541373831908325,0.2580547527069008,924.3013438963964,0.6453519101215798,0.302109956741333,17
30,GS-FCM_k4_m1.75_eta0.1,0.002986578024042907,0.9610079575596817,0.5425659031388853,1.3407070619729455,0.29038961063865454,1055.0802438204948,0.5219381583669882,0.6526544094085693,35
31,GS-FCM_k4_m1.75_eta0.5,-0.0012123209443472788,0.9610079575596817,0.5379046727267071,1.3862369534047692,0.28171243087980463,970.6560263038415,0.4997968220571462,0.20955491065979004,11
32,GS-FCM_k4_m1.75_eta0.9,0.0034076465476496395,0.9610079575596817,0.6179965030449339,1.3504218112312532,0.29652151702392693,992.1906705081798,0.6020735864239313,0.15751910209655762,8
33,GS-FCM_k4_m2_eta0.1,0.002917580124087043,0.9610079575596817,0.5417456157184806,1.3412568392887074,0.2904426498515283,1055.762415068326,0.40085864519784653,1.0121033191680908,56
